user_id,age,gender,signup_source,city
45366591-7cfa-4a64-ac7e-9a9cb378a0f5,58,F,organic,Raebareli
0cba388b-21c3-4d5d-b456-51207cef3404,35,F,organic,Sambalpur
2f15c183-0980-4d6d-9eb1-a88b8121e730,26,F,ad,Ghaziabad
73fdd607-7373-4e0a-8262-232114fc5386,52,F,ad,Madanapalle
43d85539-72a7-4499-ab97-ceec3d522a25,45,F,organic,Tiruvottiyur
de919b64-8d5c-4a41-8742-7a643e72300c,23,F,organic,Berhampur
293d027a-5976-41e7-81e9-ba4a0ba66e2d,50,F,ad,Tirunelveli
172a2a1d-21df-49f5-a0a7-bde2462f9179,30,M,organic,Gandhinagar
d9a08bd0-911f-4b44-8b74-a4632a02ab74,46,M,organic,Raurkela Industrial Township
6d31492e-57b4-48ab-86f4-dff51d560500,28,M,referral,Naihati
520c9b69-8da4-466c-b990-3da415cc3aa5,35,F,organic,Sangli-Miraj & Kupwad
4773f558-185c-4914-b557-d17ad32b6a2a,39,F,organic,Panchkula
5f85e71a-a2c4-4213-a925-2070ae8f0504,42,F,referral,Bhiwandi
080f4d8c-27fa-47f6-a8ba-e7079ba3e074,40,M,organic,Nellore
221c2e04-0250-483d-8118-a8e2efa8fcb7,47,F,referral,Bally
edd8c5ce-3597-435e-b8dd-1e58337b342b,23,M,ad,Mahbubnagar
23de4572-4a81-4857-b5d8-5ac281dc9cc7,57,M,ad,Saharsa
a8bb16b3-3b8f-45f5-9bf4-5d533d173e90,30,F,organic,Udupi
3faf5aa0-860a-42ef-a098-76e5c929bdbe,60,F,referral,Agra
54d21f9a-dca3-4e7d-b8eb-12fa4d142b6d,23,F,organic,Bhubaneswar
205bec0f-0879-42f5-89bf-6c3ff5f7cb0e,42,M,referral,Pudukkottai
ac5208df-530f-409b-acfa-c15e5438bd12,58,M,organic,Thoothukudi
9d8e5244-6837-43e0-82fa-48eb7676bfe8,41,M,organic,Satara
0cfd8776-b0b3-456b-a0e6-78ebc4d91507,60,M,ad,Dhule
36428d0a-9444-4f95-bcfa-ff124bc41350,59,F,ad,Jammu
f0db7da4-82e0-4add-8d0f-a5f338797973,58,F,ad,Kanpur
3c2b2a74-d08f-4206-83ab-36787d81cbd1,33,F,referral,Howrah
643eb867-29e2-4228-ab09-c027c31caeb7,42,M,ad,Avadi
d76ac575-a53b-42fa-adbf-36986aaa9131,53,F,ad,Cuttack
7c5e8098-524d-4d24-a238-dbb86dfb6795,38,F,organic,Udaipur
047191cc-9997-4407-a7ee-091cf3204e16,20,M,referral,Kadapa
c0c6632f-9586-4707-a498-7bd4e619ea24,35,F,organic,Medininagar
71cec82b-5586-4d01-82b0-4be6d1a19a83,54,M,organic,Machilipatnam
494d0631-b14c-4ebe-b7e6-3345489bb18f,59,M,referral,Ongole
3e6e1a53-97bc-4826-bd60-1cbd38677d65,59,M,organic,Orai
1cabc664-cf50-4fb0-8e87-1685382dc6f2,34,F,organic,Hyderabad
5abc5636-9f77-4b78-8a55-b6590dfd84c8,53,M,ad,Bhusawal
5580b93a-668d-4b65-9593-f937eb2ef684,55,M,ad,Tadipatri
7681867e-d8cf-4f81-9fdb-d31da0ccdbf7,43,M,organic,Bulandshahr
81b17e83-b8cd-4118-9e8d-0e484f1e95ff,26,M,organic,Bidhannagar
4dde68bf-962b-4464-bd49-ba9d61d30511,21,F,organic,Bathinda
90221d68-6fea-46b7-a801-c4ba92ba33b3,58,F,ad,Kollam
373c3a24-0fa3-4413-868b-60a008c71523,45,F,referral,Bhavnagar
83b031ac-fb5c-4e56-9033-f6544d3c9268,42,M,ad,Bareilly
0ebbeb48-b19b-4f9e-9c66-450a759e06e8,34,F,ad,Alwar
a2768052-6b32-47fe-acdc-6f2e42649ca2,25,M,ad,Tadipatri
8ef28f88-8ae4-4db8-8ca7-5340ee416f44,39,F,referral,Silchar
73c7c6d9-b897-4f31-b6e6-4693e963727e,45,F,referral,Jamshedpur
50976c64-81bf-48ff-a553-9ef430cf571d,18,M,ad,Kakinada
b94a9756-2e90-4f80-bb2f-78c713cd9e72,29,F,ad,Proddatur
f90a2cd4-c84b-49f8-b5a6-57b63d2e1dae,37,F,organic,Satara
70cf86e6-35c1-4b4a-b3d7-b61f8af91dcf,41,F,ad,Purnia
a2d6a64e-591c-4cc6-b60e-347472f62168,51,F,ad,Mango
8c738a16-e2cf-4c31-b416-3a86d6bd459f,38,M,organic,Bharatpur
1ebc2711-3d6b-4a87-977b-62a0a143af29,25,M,referral,Avadi
419f161c-1c7a-4a66-9269-701f155dc57e,33,F,organic,Tirupati
cf250512-5b47-4643-bbd5-f49af66f56ac,54,F,organic,Sikar
27cc7a50-411c-4074-ab3e-4240742ab5f0,49,F,ad,Rourkela
9ace8430-861a-40e3-a1d5-b6b8b7f869d3,26,F,ad,Bareilly
3f23b0e3-5377-427d-a676-25c6adb36a79,48,F,referral,Agra
628570ff-232a-45b9-a9e1-ace8a48e846e,51,M,organic,Mysore
2f191de3-320c-4d77-8945-2e962e7f4375,52,F,ad,Bhavnagar
0f112d0c-9214-4eb6-89cd-86b2857ebefe,37,M,ad,Baranagar
056b1ff2-4e1a-42b8-a917-ff820bd5251d,59,M,referral,Rourkela
71bd2c40-aa49-4d4f-bd87-b70be2c3fae8,51,M,organic,Sangli-Miraj & Kupwad
9a01cd84-0811-459f-8224-6b3609b875de,33,F,organic,Mahbubnagar
410a27a5-4ff9-4f4e-94f7-dc446ebff09b,39,F,ad,Kakinada
b7d191a8-77cf-4cc3-ae85-ad234235d1f7,53,F,ad,Kurnool
86ee0f9b-e838-47e3-b5f5-bb5858e7f208,32,F,organic,Saharsa
e89e9e39-b909-49cb-8503-fad0ccc30a42,58,F,organic,Alwar
1c9a828f-7a14-405a-9873-2e208a6f42ac,22,F,referral,Asansol
3b55d440-b87e-451b-aa92-bfd2fe97d55b,22,F,referral,Akola
d4995014-4cda-4247-ba86-c12b3e93cf17,60,M,organic,Pondicherry
d07fdbe4-959f-4d9f-ad03-cd7539bab65c,52,F,ad,South Dumdum
59b15a90-6c40-421a-aae5-287bbb9b79b1,54,M,organic,Jaunpur
f0635624-a266-49a9-971f-24586c74fdf0,48,M,organic,Mira-Bhayandar
13af6e85-8f70-4392-b55d-47b72a86d48f,24,F,ad,Bhilwara
aa1d3a32-860a-4bd6-92a2-4c8ac6fa3922,45,M,referral,Bhalswa Jahangir Pur
c7457b3f-a3f5-471a-a11b-e2af6e8a2962,44,M,ad,Panvel
9f8ffb84-641f-402e-b37c-ce22b550ce5b,21,F,organic,Tiruchirappalli
e0bd013f-7a01-4cf3-b290-aedb79f01561,43,M,organic,Bilaspur
